timestamp,open,high,low,close,volume,pair
1589176800,8035.5,8035.5,8010,8018.7,59.12656733,BTC/EUR
1589177100,8018.7,8027,8009.9,8024.4,42.19195964,BTC/EUR
1589177400,8024.4,8036.6,8021.9,8036.6,4.86942169,BTC/EUR
1589177700,8035.8,8056.9,8035.6,8050.1,6.72911643,BTC/EUR
1589178000,8050.1,8052.7,8034.6,8050.8,29.27874951,BTC/EUR
1589178300,8053.9,8063.3,8052,8062.1,11.71800356,BTC/EUR
1589178600,8062.1,8062.1,8039.9,8051.6,35.46465894,BTC/EUR
1589178900,8048,8048.1,8040.1,8040.1,12.9717575,BTC/EUR
1589179200,8040.6,8040.6,8034.5,8037.7,11.61733241,BTC/EUR
1589179500,8039.4,8045,8030,8030.1,19.34373069,BTC/EUR
1589179800,8030,8031.2,8016.6,8024.4,15.47966962,BTC/EUR
1589180100,8024.4,8029,8019.5,8022.1,17.79885139,BTC/EUR
1589180400,8021.9,8024,8016.2,8021.2,13.4941829,BTC/EUR
1589180700,8024,8029,8023.9,8029,75.04174129,BTC/EUR
1589181000,8029,8044.9,8029,8041.3,21.66678401,BTC/EUR
1589181300,8041.9,8045,8041.6,8045,11.25051156,BTC/EUR
1589181600,8045,8045,8021.1,8023.9,15.72552309,BTC/EUR
1589181900,8023.9,8027.9,8007,8015.5,24.1626216,BTC/EUR
1589182200,8014.1,8018.8,8000,8005.8,15.48938202,BTC/EUR
1589182500,8005.7,8005.8,7965.9,7995.1,37.19005307,BTC/EUR
1589182800,7995.1,8015.9,7991.1,8014.5,37.59256526,BTC/EUR
1589183100,8013.8,8014.1,7990.1,8005,26.00383253,BTC/EUR
1589183400,8004.9,8026.4,8004.9,8017.1,23.95934077,BTC/EUR
1589183700,8018.7,8026.7,8008.2,8008.2,15.78793196,BTC/EUR
1589184000,8011.4,8026.6,8008.3,8016.9,18.80617019,BTC/EUR
1589184300,8016.9,8016.9,7983.4,7992.4,28.70476285,BTC/EUR
1589184600,7990.5,7990.5,7957.8,7970,193.41310446,BTC/EUR
1589184900,7970,7999.3,7969.7,7999,21.77928597,BTC/EUR
1589185200,7998.9,7999.3,7977,7980.1,51.14233161,BTC/EUR
1589185500,7986.2,7986.2,7940,7961.8,65.50292275,BTC/EUR
1589185800,7965.1,7991.6,7940,7986.8,60.03661106,BTC/EUR
1589186100,7986.7,7999.2,7982.9,7992.2,23.7158299,BTC/EUR
1589186400,7992.2,7992.9,7979.1,7987.1,31.481959,BTC/EUR
1589186700,7987,8009.5,7987,8007.1,52.93333383,BTC/EUR
1589187000,8007.2,8008.8,7996.4,7996.5,45.69634946,BTC/EUR
1589187300,7996.5,8008.8,7996.4,8008.3,19.00961623,BTC/EUR
1589187600,8008.6,8012.4,7964.9,7972.8,32.95223994,BTC/EUR
1589187900,7972.8,7979.9,7952.7,7955.8,27.10602262,BTC/EUR
1589188200,7955.7,7968.6,7930.2,7961.8,45.83600096,BTC/EUR
1589188500,7964.2,7976.5,7949.6,7967.2,38.3467299,BTC/EUR
1589188800,7967,7981.2,7963.4,7967.9,15.89283168,BTC/EUR
1589189100,7967.9,7972.5,7946.2,7946.3,43.77462377,BTC/EUR
1589189400,7946.1,7959.1,7911.7,7924.6,60.01791145,BTC/EUR
1589189700,7924.6,7938.9,7919,7919.2,47.52749016,BTC/EUR
1589190000,7923.1,7935,7911.9,7911.9,41.10040037,BTC/EUR
1589190300,7911.1,7914.4,7870.7,7910.2,109.84780017,BTC/EUR
1589190600,7910.2,7925.7,7901.5,7913,117.80681,BTC/EUR
1589190900,7913.1,7913.1,7839.6,7861.4,95.38160591,BTC/EUR
1589191200,7861.4,7906,7859.9,7904,71.01954703,BTC/EUR
1589191500,7904,7932.7,7903.9,7927.3,44.34658131,BTC/EUR
1589191800,7927.2,8035.7,7927.2,8014.2,106.92271654,BTC/EUR
1589192100,8009.2,8067,8008,8025.8,66.01880413,BTC/EUR
1589192400,8025.8,8050.8,8018.1,8048.7,34.52043026,BTC/EUR
1589192700,8043.4,8049.8,8025.3,8031.6,44.28134141,BTC/EUR
1589193000,8036.1,8063.8,8036.1,8060.6,45.39166045,BTC/EUR
1589193300,8060.2,8114,8059.1,8112.8,82.67306828,BTC/EUR
1589193600,8112.8,8140,8090.8,8116.6,103.97399056,BTC/EUR
1589193900,8116.6,8224.6,8113.6,8158.2,249.61944801,BTC/EUR
1589194200,8163.5,8172.9,8128.5,8150,59.09900389,BTC/EUR
1589194500,8150,8173.9,8139.8,8160.8,72.81885528,BTC/EUR
1589194800,8160.7,8199.6,8131.7,8142.8,98.66949959,BTC/EUR
1589195100,8143,8154.6,8118.1,8153.6,52.22593596,BTC/EUR
1589195400,8153.6,8161.4,8138.4,8145.8,92.17716745,BTC/EUR
1589195700,8145.8,8196.3,8145.8,8178.9,47.71968029,BTC/EUR
1589196000,8177.9,8208.1,8173.9,8194.6,47.26511504,BTC/EUR
1589196300,8193,8217.7,8176.5,8206,90.68010709,BTC/EUR
1589196600,8206.1,8235.4,8194.5,8200,75.47767706,BTC/EUR
1589196900,8200,8200,8172.8,8179.9,125.87922473,BTC/EUR
1589197200,8178.5,8197,8178.3,8194.1,23.40294886,BTC/EUR
1589197500,8194,8230,8194,8230,154.12947943,BTC/EUR
1589197800,8230,8330.1,8230,8330.1,531.27634012,BTC/EUR
1589198100,8333,8340,8260.5,8278.5,178.79938281,BTC/EUR
1589198400,8280.7,8310,8253,8253,131.97841653,BTC/EUR
1589198700,8252.5,8308.5,8252.5,8304.2,79.24218486,BTC/EUR
1589199000,8303,8369.9,8295.1,8362.7,248.02547189,BTC/EUR
1589199300,8354.6,8415.2,8350,8406.9,200.99527438,BTC/EUR
1589199600,8415.3,8419.3,8364.1,8395.9,177.27039209,BTC/EUR
1589199900,8398.1,8495,8398.1,8490.1,250.48597514,BTC/EUR
1589200200,8490.1,8521.3,8405.6,8434.9,344.79470142,BTC/EUR
1589200500,8431.1,8454.7,8403.3,8435.7,119.10140723,BTC/EUR
1589200800,8435.7,8469.2,8416.4,8423.4,89.20956507,BTC/EUR
1589201100,8423.3,8426.4,8155,8282.4,537.27300423,BTC/EUR
1589201400,8282.1,8304.5,8216.8,8233.3,240.22766606,BTC/EUR
1589201700,8233.3,8273.7,8229.2,8229.2,53.61742983,BTC/EUR
1589202000,8224.5,8295,8210,8282.3,199.40237621,BTC/EUR
1589202300,8282.3,8315.5,8277.3,8282.8,77.71317192,BTC/EUR
1589202600,8283.9,8283.9,8230,8238.8,49.3073512,BTC/EUR
1589202900,8238.6,8279.2,8238.6,8254.4,44.29094297,BTC/EUR
1589203200,8256.5,8257.3,8210,8224.5,37.97558694,BTC/EUR
1589203500,8223,8224.2,8100.8,8147.2,216.7070556,BTC/EUR
1589203800,8145.6,8182.8,8121.7,8163.3,97.5810378,BTC/EUR
1589204100,8161.6,8192.5,8139.4,8179,34.69430885,BTC/EUR
1589204400,8183.6,8216,8171.7,8197.6,44.36655883,BTC/EUR
1589204700,8197.5,8236.5,8197.5,8225.3,55.63146671,BTC/EUR
1589205000,8225.3,8229.4,8191.5,8197.9,56.11377211,BTC/EUR
